Municipality,Portal URL,Tender Page URL,Update Frequency,Page Structure,Data Available,Complexity,Notes
City of Johannesburg,joburg.org.za,,Weekly,Static HTML / JavaScript / PDF,Title; Closing Date; Value; Category,Easy / Medium / Hard,
City of Cape Town,capetown.gov.za,,Weekly,Static HTML / JavaScript / PDF,Title; Closing Date; Value; Category,Easy / Medium / Hard,
eThekwini Municipality,durban.gov.za,,Weekly,Static HTML / JavaScript / PDF,Title; Closing Date; Value; Category,Easy / Medium / Hard,
City of Tshwane,tshwane.gov.za,,Weekly,Static HTML / JavaScript / PDF,Title; Closing Date; Value; Category,Easy / Medium / Hard,
Ekurhuleni,ekurhuleni.gov.za,,Weekly,Static HTML / JavaScript / PDF,Title; Closing Date; Value; Category,Easy / Medium / Hard,
Nelson Mandela Bay,nelsonmandelabay.gov.za,,Weekly,Static HTML / JavaScript / PDF,Title; Closing Date; Value; Category,Easy / Medium / Hard,
Buffalo City,buffalocity.gov.za,,Weekly,Static HTML / JavaScript / PDF,Title; Closing Date; Value; Category,Easy / Medium / Hard,
Mangaung,mangaung.co.za,,Weekly,Static HTML / JavaScript / PDF,Title; Closing Date; Value; Category,Easy / Medium / Hard,
Polokwane,polokwane.gov.za,,Weekly,Static HTML / JavaScript / PDF,Title; Closing Date; Value; Category,Easy / Medium / Hard,
Rustenburg,rustenburg.gov.za,,Weekly,Static HTML / JavaScript / PDF,Title; Closing Date; Value; Category,Easy / Medium / Hard,
Eastern Cape Province,easterncape.gov.za,,Weekly,Static HTML / JavaScript / PDF,Title; Closing Date; Value; Category,Easy / Medium / Hard,
Free State Province,fs.gov.za,,Weekly,Static HTML / JavaScript / PDF,Title; Closing Date; Value; Category,Easy / Medium / Hard,
Gauteng Province,gauteng.gov.za,,Weekly,Static HTML / JavaScript / PDF,Title; Closing Date; Value; Category,Easy / Medium / Hard,
KwaZulu-Natal Province,kznonline.gov.za,,Weekly,Static HTML / JavaScript / PDF,Title; Closing Date; Value; Category,Easy / Medium / Hard,
Limpopo Province,limpopo.gov.za,,Weekly,Static HTML / JavaScript / PDF,Title; Closing Date; Value; Category,Easy / Medium / Hard,
Mpumalanga Province,mpumalanga.gov.za,,Weekly,Static HTML / JavaScript / PDF,Title; Closing Date; Value; Category,Easy / Medium / Hard,
Northern Cape Province,northerncape.gov.za,,Weekly,Static HTML / JavaScript / PDF,Title; Closing Date; Value; Category,Easy / Medium / Hard,
North West Province,nwpg.gov.za,,Weekly,Static HTML / JavaScript / PDF,Title; Closing Date; Value; Category,Easy / Medium / Hard,
Western Cape Province,westerncape.gov.za,,Weekly,Static HTML / JavaScript / PDF,Title; Closing Date; Value; Category,Easy / Medium / Hard,
Eskom,eskom.co.za,,Weekly,Static HTML / JavaScript / PDF,Title; Closing Date; Value; Category,Easy / Medium / Hard,
Transnet,transnet.net,,Weekly,Static HTML / JavaScript / PDF,Title; Closing Date; Value; Category,Easy / Medium / Hard,
DENEL,denel.co.za,,Weekly,Static HTML / JavaScript / PDF,Title; Closing Date; Value; Category,Easy / Medium / Hard,
Sanral,sanral.co.za,,Weekly,Static HTML / JavaScript / PDF,Title; Closing Date; Value; Category,Easy / Medium / Hard,
Water & Sanitation,dws.gov.za,,Weekly,Static HTML / JavaScript / PDF,Title; Closing Date; Value; Category,Easy / Medium / Hard,
